日文,中文
賓,宾
頻,频
敏,敏
瓶,瓶
不,不
付,付
埠,埠
夫,夫
婦,妇
富,富
冨,冨
布,布
府,府
怖,怖
扶,扶
敷,敷
斧,斧
普,普
浮,浮
父,父
符,符
腐,腐
膚,肤
芙,芙
譜,谱
負,负
賦,赋
赴,赴
阜,阜
附,附
侮,侮
撫,抚
武,武
舞,舞
葡,葡
蕪,芜
部,部
封,封
楓,枫
風,风
葺,葺
蕗,蕗
伏,伏
副,副
復,复
幅,幅
服,服
福,福
腹,腹
複,复
覆,覆
淵,渊
弗,弗
払,拂
沸,沸
仏,佛
物,物
鮒,鲋
分,分
吻,吻
噴,喷
墳,坟
憤,愤
扮,扮
焚,焚
奮,奋
粉,粉
糞,粪
紛,纷
雰,氛
文,文
聞,闻
丙,丙
併,并
兵,兵
塀,塀
幣,币
平,平
弊,弊
柄,柄
並,并
蔽,蔽
閉,闭
陛,陛
米,米
頁,页
僻,僻
壁,壁
癖,癖
碧,碧
別,别
瞥,瞥
蔑,蔑
箆,箆
偏,偏
変,变
片,片
篇,篇
編,编
辺,边
返,返
遍,遍
便,便
勉,勉
娩,娩
弁,弁
鞭,鞭
保,保
舗,铺
鋪,铺
圃,圃
捕,捕
歩,步
甫,甫
補,补
輔,辅
穂,穗
募,募
墓,墓
慕,慕
戊,戊
暮,暮
母,母
簿,簿
菩,菩
倣,倣
俸,俸
包,包
呆,呆
報,报
奉,奉
宝,宝
峰,峰
峯,峯
崩,崩
庖,庖
抱,抱
捧,捧
放,放
方,方
朋,朋
法,法
泡,泡
烹,烹
砲,砲
縫,缝
胞,胞
芳,芳
萌,萌
蓬,蓬
蜂,蜂
褒,褒
訪,访
豊,丰
邦,邦
鋒,锋
飽,饱
鳳,凤
鵬,鹏
乏,乏
亡,亡
傍,傍
剖,剖
坊,坊
妨,妨
帽,帽
忘,忘
忙,忙
房,房
暴,暴
望,望
某,某
棒,棒
冒,冒
紡,纺
肪,肪
膨,膨
謀,谋
貌,貌
貿,贸
鉾,鉾
防,防
吠,吠
頬,頬
北,北
僕,仆
卜,卜
墨,墨
撲,扑
朴,朴
牧,牧
睦,睦
穆,穆
釦,釦
勃,勃
没,没
殆,殆
堀,堀
幌,幌
奔,奔
本,本
翻,翻
凡,凡
盆,盆
摩,摩
磨,磨
魔,魔
麻,麻
埋,埋
妹,妹
昧,昧
枚,枚
毎,每
哩,哩
槙,槙
幕,幕
膜,膜
枕,枕
鮪,鲔
柾,柾
鱒,鳟
桝,桝
亦,亦
俣,俣
又,又
抹,抹
末,末
沫,沫
迄,迄
侭,侭
繭,茧
麿,麿
万,万
慢,慢
満,满
漫,漫
蔓,蔓
味,味
未,未
魅,魅
巳,巳
箕,箕
岬,岬
密,密
蜜,蜜
湊,凑
蓑,蓑
稔,稔
脈,脉
妙,妙
粍,粍
民,民
眠,眠
務,务
夢,梦
無,无
牟,牟
矛,矛
霧,雾
鵡,鹉
椋,椋
婿,婿
娘,娘
冥,冥
名,名
命,命
明,明
盟,盟
迷,迷
銘,铭
鳴,鸣
姪,姪
牝,牝
滅,灭
免,免
棉,棉
綿,绵
緬,缅
面,面
麺,面
摸,摸
模,模
茂,茂
妄,妄
孟,孟
毛,毛
猛,猛
盲,盲
網,网
耗,耗
蒙,蒙
儲,储
木,木
黙,默
目,目
杢,杢
勿,勿
餅,饼
尤,尤
戻,戻
籾,籾
貰,贳
問,问
悶,闷
紋,纹
門,门
匁,匁
也,也
冶,冶
夜,夜
爺,爷
耶,耶
野,野
弥,弥
矢,矢
厄,厄
役,役
約,约
薬,药
訳,译
躍,跃
靖,靖
柳,柳
薮,薮
鑓,鑓
愉,愉
愈,愈
油,油
癒,癒
諭,谕
輸,输
唯,唯
佑,佑
優,优
勇,勇
友,友
宥,宥
幽,幽
悠,悠
憂,忧
揖,揖
有,有
柚,柚
湧,湧
涌,涌
猶,犹
猷,猷
由,由
祐,祐
裕,裕
誘,诱
遊,游
邑,邑
郵,邮
雄,雄
融,融
夕,夕
予,予
余,余
与,与
誉,誉
輿,舆
預,预
傭,佣
幼,幼
妖,妖
容,容
庸,庸
揚,扬
揺,摇
擁,拥
曜,曜
楊,杨
様,样
洋,洋
溶,溶
熔,熔
用,用
窯,窑
羊,羊
耀,耀
葉,叶
蓉,蓉
要,要
謡,谣
踊,踊
遥,遥
陽,阳
養,养
慾,慾
抑,抑
欲,欲
沃,沃
浴,浴
翌,翌
翼,翼
淀,淀
羅,罗
螺,螺
裸,裸
来,来
莱,莱
頼,赖
雷,雷
洛,洛
絡,络
落,落
酪,酪
乱,乱
卵,卵
嵐,岚
欄,栏
濫,滥
藍,蓝
蘭,兰
覧,览
利,利
吏,吏
履,履
李,李
梨,梨
理,理
璃,璃
痢,痢
裏,里
裡,里
里,里
離,离
陸,陆
律,律
率,率
立,立
葎,葎
掠,掠
略,略
劉,刘
流,流
溜,溜
琉,琉
留,留
硫,硫
粒,粒
隆,隆
竜,龙
龍,龙
侶,侣
慮,虑
旅,旅
虜,虏
了,了
亮,亮
僚,僚
両,两
凌,凌
寮,寮
料,料
梁,梁
涼,凉
猟,猎
療,疗
瞭,了
稜,稜
糧,粮
良,良
諒,谅
遼,辽
量,量
陵,陵
領,领
力,力
緑,绿
倫,伦
厘,厘
林,林
淋,淋
燐,燐
琳,琳
臨,临
輪,轮
隣,隣
鱗,鳞
麟,麟
瑠,瑠
塁,垒
涙,泪
累,累
類,类
令,令
伶,伶
例,例
冷,冷
励,励
嶺,岭
怜,怜
玲,玲
礼,礼
苓,苓
鈴,铃
隷,隶
零,零
霊,灵
麗,丽
齢,龄
暦,历
歴,历
列,列
劣,劣
烈,烈
裂,裂
廉,廉
恋,恋
憐,怜
漣,涟
煉,炼
簾,帘
練,练
聯,联
蓮,莲
連,连
錬,炼
呂,吕
魯,鲁
櫓,橹
炉,炉
賂,赂
路,路
露,露
労,劳
婁,娄
廊,廊
弄,弄
朗,朗
楼,楼
榔,榔
浪,浪
漏,漏
牢,牢
狼,狼
篭,篭
老,老
聾,聋
蝋,蝋
郎,郎
六,六
麓,麓
禄,禄
肋,肋
録,录
論,论
倭,倭
和,和
話,话
歪,歪
賄,贿
脇,脇
惑,惑
枠,枠
鷲,鹫
亙,亘
亘,亘
鰐,鳄
詫,诧
藁,藁
蕨,蕨
椀,椀
湾,湾
碗,碗
腕,腕
弌,弌
丐,丐
丕,丕
个,个
丱,丱
丶,丶
丼,丼
丿,丿
乂,乂
乖,乖
乘,乘
亂,乱
亅,亅
豫,豫
亊,亊
舒,舒
弍,弍
于,于
亞,亚
亟,亟
亠,亠
亢,亢
亰,亰
亳,亳
亶,亶
从,从
仍,仍
仄,仄
仆,仆
仂,仂
仗,仗
仞,仞
仭,仭
仟,仟
价,价
伉,伉
佚,佚
估,估
佛,佛
佝,佝
佗,佗
佇,伫
佶,佶
侈,侈
侏,侏
侘,侘
佻,佻
佩,佩
佰,佰
侑,侑
佯,佯
來,来
侖,仑
儘,尽
俔,伣
俟,俟
俎,俎
俘,俘
俛,俛
俑,俑
俚,俚
俐,俐
俤,俤
俥,俥
倚,倚
倨,倨
倔,倔
倪,倪
倥,倥
倅,倅
伜,伜
俶,俶
倡,倡
倩,倩
倬,倬
俾,俾
俯,俯
們,们
倆,俩
偃,偃
假,假
會,会
偕,偕
偐,偐
偈,偈
做,做
偖,偖
偬,偬
偸,偸
傀,傀
傚,傚
傅,傅
傴,伛
傲,傲
僉,佥
僊,僊
傳,传
僂,偻
僖,僖
僞,伪
僥,侥
僭,僭
僣,僣
僮,僮
價,价
僵,僵
儉,俭
儁,儁
儂,侬
儖,儖
儕,侪
儔,俦
儚,儚
儡,儡
儺,傩
儷,俪
儼,俨
儻,傥
儿,儿
兀,兀
兒,儿
兌,兑
兔,兔
兢,兢
竸,竸
兩,两
兪,兪
兮,兮
冀,冀
冂,冂
囘,囘
册,册
冉,冉
冏,冏
冑,冑
冓,冓
冕,冕
冖,冖
冤,冤
冦,冦
冢,冢
冩,冩
冪,幂
冫,冫
决,决
冱,冱
冲,冲
冰,冰
况,况
冽,冽
凅,凅
凉,凉
凛,凛
几,几
處,处
凩,凩
凭,凭
凰,凰
凵,凵
凾,凾
刄,刄
刋,刋
刔,刔
刎,刎
刧,刧
刪,删
刮,刮
刳,刳
刹,刹
剏,剏
剄,刭
剋,克
剌,剌
剞,剞
剔,剔
剪,剪
剴,剀
剩,剩
剳,剳
剿,剿
剽,剽
劍,剑
劔,劔
劒,劒
剱,剱
劈,劈
劑,剂
辨,辨
辧,辧
劬,劬
劭,劭
劼,劼
劵,劵
勁,劲
勍,勍
勗,勗
勞,劳
勣,勣
勦,勦
飭,饬
勠,勠
勳,勳
勵,励
勸,劝
勹,勹
匆,匆
匈,匈
甸,甸
匍,匍
匐,匐
匏,匏
匕,匕
匚,匚
匣,匣
匯,汇
匱,匮
匳,匳
匸,匸
區,区
卆,卆
卅,卅
丗,丗
卉,卉
卍,卍
凖,凖
卞,卞
卩,卩
卮,卮
夘,夘
卻,却
卷,卷
厂,厂
厖,厖
厠,厕
厦,厦
厥,厥
厮,厮
厰,厰
厶,厶
參,参
簒,簒
雙,双
叟,叟
曼,曼
燮,燮
叮,叮
叨,叨
叭,叭
叺,叺
吁,吁
吽,吽
呀,呀
听,听
吭,吭
吼,吼
吮,吮
吶,呐
吩,吩
吝,吝
呎,呎
咏,咏
呵,呵
咎,咎
呟,呟
呱,呱
呷,呷
呰,呰
咒,咒
呻,呻
咀,咀
呶,呶
咄,咄
咐,咐
咆,咆
哇,哇
咢,咢
咸,咸
咥,咥
咬,咬
哄,哄
哈,哈
咨,咨
咫,咫
哂,哂
咤,咤
咾,咾
咼,呙
哘,哘
哥,哥
哦,哦
唏,唏
唔,唔
哽,哽
哮,哮
哭,哭
哺,哺
哢,哢
唹,唹
啀,啀
啣,啣
啌,啌
售,售
啜,啜
啅,啅
啖,啖
啗,啗
唸,唸
唳,唳
啝,啝
喙,喙
喀,喀
咯,咯
喊,喊
喟,喟
啻,啻
啾,啾
喘,喘
喞,喞
單,单
啼,啼
喃,喃
喩,喩
喇,喇
喨,喨
嗚,呜
嗅,嗅
嗟,嗟
嗄,嗄
嗜,嗜
嗤,嗤
嗔,嗔
嘔,呕
嗷,嗷
嘖,啧
嗾,嗾
嗽,嗽
嘛,嘛
嗹,嗹
噎,噎
噐,噐
營,营
嘴,嘴
嘶,嘶
嘲,嘲
嘸,呒
噫,噫
噤,噤
嘯,啸
噬,噬
噪,噪
嚆,嚆
嚀,咛
嚊,嚊
嚠,嚠
嚔,嚔
嚏,嚏
嚥,咽
嚮,向
嚶,嘤
嚴,严
囂,嚣
嚼,嚼
囁,嗫
囃,囃
囀,啭
囈,呓
囎,囎
囑,嘱
囓,囓
囗,囗
囮,囮
囹,囹
圀,圀
囿,囿
圄,圄
圉,圉
圈,圈
國,国
圍,围
圓,圆
團,团
圖,图
嗇,啬
圜,圜
圦,圦
圷,圷
圸,圸
坎,坎
圻,圻
址,址
坏,坏
坩,坩
埀,埀
垈,垈
坡,坡
坿,坿
垉,垉
垓,垓
垠,垠
垳,垳
垤,垤
垪,垪
垰,垰
埃,埃
埆,埆
埔,埔
埒,埒
埓,埓
堊,垩
埖,埖
埣,埣
堋,堋
堙,堙
堝,埚
塲,塲
堡,堡
塢,坞
塋,茔
塰,塰
毀,毁
塒,埘
堽,堽
塹,堑
墅,墅
墹,墹
墟,墟
墫,墫
墺,墺
壞,坏
墻,墙
墸,墸
墮,堕
壅,壅
壓,压
壑,壑
壗,壗
壙,圹
壘,垒
壥,壥
壜,壜
壤,壤
壟,垄
壯,壮
壺,壶
壹,壹
壻,壻
壼,壸
壽,寿
夂,夂
夊,夊
夐,夐
夛,夛
梦,梦
夥,夥
夬,夬
夭,夭
夲,夲
夸,夸
夾,夹
竒,竒
奕,奕
奐,奂
奎,奎
奚,奚
奘,奘
奢,奢
奠,奠
奧,奥
奬,奖
奩,奁
奸,奸
妁,妁
妝,妆
佞,佞
侫,侫
妣,妣
妲,妲
姆,姆
姨,姨
姜,姜
妍,妍
姙,姙
姚,姚
娥,娥
娟,娟
娑,娑
娜,娜
娉,娉
娚,娚
婀,婀
婬,婬
婉,婉
娵,娵
娶,娶
婢,婢
婪,婪
媚,媚
媼,媪
媾,媾
嫋,嫋
嫂,嫂
媽,妈
嫣,嫣
嫗,妪
嫦,嫦
嫩,嫩
嫖,嫖
嫺,嫺
嫻,娴
嬌,娇
嬋,婵
嬖,嬖
嬲,嬲
嫐,嫐
嬪,嫔
嬶,嬶
嬾,嬾
孃,娘
孅,孅
孀,孀
孑,孑
孕,孕
孚,孚
孛,孛
孥,孥
孩,孩
孰,孰
孳,孳
孵,孵
學,学
斈,斈
孺,孺
宀,宀
它,它
宦,宦
宸,宸
寃,寃
寇,寇
寉,寉
寔,寔
寐,寐
寤,寤
實,实
寢,寝
寞,寞
寥,寥
寫,写
寰,寰
寶,宝
寳,寳
尅,尅
將,将
專,专
對,对
尓,尓
尠,尠
尢,尢
尨,尨
尸,尸
尹,尹
屁,屁
屆,届
屎,屎
屓,屃
屐,屐
屏,屏
孱,孱
屬,属
屮,屮
乢,乢
屶,屶
屹,屹
岌,岌
岑,岑
岔,岔
妛,妛
岫,岫
岻,岻
岶,岶
岼,岼
岷,岷
峅,峅
岾,岾
峇,峇
峙,峙
峩,峩
峽,峡
峺,峺
峭,峭
嶌,嶌
峪,峪
崋,崋
崕,崕
崗,岗
嵜,嵜
崟,崟
崛,崛
崑,崑
崔,崔
崢,峥
崚,崚
崙,崙
崘,崘
嵌,嵌
嵒,嵒
嵎,嵎
嵋,嵋
嵬,嵬
嵳,嵳
嵶,嵶
嶇,岖
嶄,崭
嶂,嶂
嶢,峣
嶝,嶝
嶬,嶬
嶮,崄
嶽,岳
嶐,嶐
嶷,嶷
嶼,屿
巉,巉
巍,巍
巓,巓
巒,峦
巖,巖
巛,巛
巫,巫
已,已
巵,巵
帋,帋
帚,帚
帙,帙
帑,帑
帛,帛
帶,带
帷,帷
幄,幄
幃,帏
幀,帧
幎,幎
幗,帼
幔,幔
幟,帜
幢,幢
幤,幤
幇,幇
幵,幵
并,并
幺,么
麼,么
广,广
庠,庠
廁,厕
廂,厢
廈,厦
廐,廐
廏,廏
廖,廖
廣,广
廝,厮
廚,厨
廛,廛
廢,废
廡,庑
廨,廨
廩,廪
廬,庐
廱,廱
廳,厅
廰,廰
廴,廴
廸,廸
廾,廾
弃,弃
弉,弉
彝,彝
彜,彜
弋,弋
弑,弑
弖,弖
弩,弩
弭,弭
弸,弸
彁,彁
彈,弹
彌,弥
彎,弯
弯,弯
彑,彑
彖,彖
彗,彗
彙,汇
彡,彡
彭,彭
彳,彳
彷,彷
徃,徃
徂,徂
彿,彿
徊,徊
很,很
徑,径
徇,徇
從,从
徙,徙
徘,徘
徠,徕
徨,徨
徭,徭
徼,徼
忖,忖
忻,忻
忤,忤
忸,忸
忱,忱
忝,忝
悳,悳
忿,忿
怡,怡
恠,恠
怙,怙
怐,怐
怩,怩
怎,怎
怱,怱
怛,怛
怕,怕
怫,怫
怦,怦
怏,怏
怺,怺
恚,恚
恁,恁
恪,恪
恷,恷
恟,恟
恊,恊
恆,恒
恍,恍
恣,恣
恃,恃
恤,恤
恂,恂
恬,恬
恫,恫
恙,恙
悁,悁
悍,悍
惧,惧
悃,悃
悚,悚
悄,悄
悛,悛
悖,悖
悗,悗
悒,悒
悧,悧
悋,悋
惡,恶
悸,悸
惠,惠
惓,惓
悴,悴
忰,忰
悽,悽
惆,惆
悵,怅
惘,惘
慍,愠
愕,愕
愆,愆
惶,惶
惷,惷
愀,愀
惴,惴
惺,惺
愃,愃
愡,愡
惻,恻
惱,恼
愍,愍
愎,愎
慇,慇
愾,忾
愨,悫
愧,愧
慊,慊
愿,愿
愼,慎
愬,愬
愴,怆
愽,愽
慂,慂
慄,栗
慳,悭
慷,慷
慘,惨
慙,慙
慚,惭
慫,怂
慴,慴
慯,慯
慥,慥
慱,慱
慟,恸
慝,慝
慓,慓
慵,慵
憙,憙
憖,憖
憇,憇
憬,憬
憔,憔
憚,惮
憊,惫
憑,凭
憫,悯
憮,怃
懌,怿
懊,懊
應,应
懷,怀
懈,懈
懃,懃
懆,懆
憺,憺
懋,懋
罹,罹
懍,懔
懦,懦
懣,懑
懶,懒
懺,忏
懴,懴
懿,懿
懽,懽
懼,惧
懾,慑
戀,恋
戈,戈
戉,戉
戍,戍
戌,戌
戔,戋
戛,戛
戞,戞
戡,戡
截,截
戮,戮
戰,战
戲,戏
戳,戳
扁,扁
扎,扎
扞,扞
扣,扣
扛,扛
扠,扠
扨,扨
扼,扼
抂,抂
抉,抉
找,找
抒,抒
抓,抓
抖,抖
拔,拔
抃,抃
抔,抔
拗,拗
拑,拑
抻,抻
拏,拏
拿,拿
拆,拆
擔,担
拈,拈
拜,拜
拌,拌
拊,拊
拂,拂
拇,拇
抛,抛
拉,拉
挌,挌
拮,拮
拱,拱
挧,挧
挂,挂
挈,挈
拯,拯
拵,拵
捐,捐
挾,挟
捍,捍
搜,搜
捏,捏
掖,掖
掎,掎
掀,掀
掫,掫
捶,捶
掣,掣
掏,掏
掉,掉
掟,掟
掵,掵
捫,扪
捩,捩
掾,掾
揩,揩
揀,拣
揆,揆
揣,揣
揉,揉
插,插
揶,揶
揄,揄
搖,摇
搴,搴
搆,搆
搓,搓
搦,搦
搶,抢
攝,摄
搗,捣
搨,搨
搏,搏
摧,摧
摯,挚
摶,抟
摎,摎
攪,搅
撕,撕
撓,挠
撥,拨
撩,撩
撈,捞
撼,撼
據,据
擒,擒
擅,擅
擇,择
撻,挞
擘,擘
擂,擂
擱,搁
擧,举
舉,举
擠,挤
擡,擡
抬,抬
擣,擣
擯,摈
攬,揽
擶,擶
擴,扩
擲,掷
擺,摆
攀,攀
擽,擽
攘,攘
攜,携
攅,攅
攤,摊
攣,挛
攫,攫
攴,攴
攵,攵
攷,攷
收,收
攸,攸
畋,畋
效,效
敖,敖
敕,敕
敍,叙
敘,叙
敞,敞
敝,敝
敲,敲
數,数
斂,敛
斃,毙
變,变
斛,斛
斟,斟
斫,斫
斷,断
旃,旃
旆,旆
旁,旁
旄,旄
旌,旌
旒,旒
旛,旛
旙,旙
无,无
旡,旡
旱,旱
杲,杲
昊,昊
昃,昃
旻,旻
杳,杳
昵,昵
昶,昶
昴,昴
昜,昜
晏,晏
晄,晄
晉,晋
晁,晁
晞,晞
晝,昼
晤,晤
晧,晧
晨,晨
晟,晟
晢,晢
晰,晰
暃,暃
暈,晕
暎,暎
暉,晖
暄,暄
暘,旸
暝,暝
曁,曁
暹,暹
曉,晓
暾,暾
暼,暼
曄,晔
暸,暸
曖,暧
曚,曚
曠,旷
昿,昿
曦,曦
曩,曩
曰,曰
曵,曵
曷,曷
朏,朏
朖,朖
朞,朞
朦,朦
朧,胧
霸,霸
朮,术
朿,朿
朶,朶
杁,杁
朸,朸
朷,朷
杆,杆
杞,杞
杠,杠
杙,杙
杣,杣
杤,杤
枉,枉
杰,杰
枩,枩
杼,杼
杪,杪
枌,枌
枋,枋
枦,枦
枡,枡
枅,枅
枷,枷
柯,柯
枴,枴
柬,柬
枳,枳
柩,柩
枸,枸
柤,柤
柞,柞
柝,柝
柢,柢
柮,柮
枹,枹
柎,柎
柆,柆
柧,柧
檜,桧
栞,栞
框,框
栩,栩
桀,桀
桍,桍
栲,栲
桎,桎
梳,梳
栫,栫
桙,桙
档,档
桷,桷
桿,杆
梟,枭
梏,梏
梭,梭
梔,栀
條,条
梛,梛
梃,梃
檮,梼
梹,梹
桴,桴
梵,梵
梠,梠
梺,梺
椏,桠
梍,梍
桾,桾
椁,椁
棊,棊
椈,椈
棘,棘
椢,椢
椦,椦
棡,棡
椌,椌
棍,棍
棔,棔
棧,栈
棕,棕
椶,椶
椒,椒
椄,椄
棗,枣
棣,棣
椥,椥
棹,棹
棠,棠
棯,棯
椨,椨
椪,椪
椚,椚
椣,椣
椡,椡
棆,棆
楹,楹
楷,楷
楜,楜
楸,楸
楫,楫
楔,楔
楾,楾
楮,楮
椹,椹
楴,楴
椽,椽
楙,楙
椰,椰
楡,楡
楞,楞
楝,楝
榁,榁
楪,楪
榲,榅
榮,荣
槐,槐
榿,桤
槁,槁
槓,槓
榾,榾
槎,槎
寨,寨
槊,槊
槝,槝
榻,榻
槃,槃
榧,榧
樮,樮
榑,榑
榠,榠
榜,榜
榕,榕
榴,榴
槞,槞
槨,椁
樂,乐
樛,樛
槿,槿
權,权
槹,槹
槲,槲
槧,椠
樅,枞
榱,榱
樞,枢
槭,槭
樔,樔
槫,槫
樊,樊
樒,樒
櫁,櫁
樣,样
樓,楼
橄,橄
樌,樌
橲,橲
樶,樶
橸,橸
橇,橇
橢,椭
橙,橙
橦,橦
橈,桡
樸,朴
樢,樢
檐,檐
檍,檍
檠,檠
檄,檄
檢,检
檣,樯
檗,檗
蘗,蘗
檻,槛
櫃,柜
櫂,櫂
檸,柠
檳,槟
檬,檬
櫞,橼
櫑,櫑
櫟,栎
檪,檪
櫚,榈
櫪,枥
櫻,樱
欅,欅
蘖,蘖
櫺,櫺
欒,栾
欖,榄
鬱,郁
欟,欟
欸,欸
欷,欷
盜,盗
欹,欹
飮,飮
歇,歇
歃,歃
歉,歉
歐,欧
歙,歙
歔,歔
歛,歛
歟,欤
歡,欢
歸,归
歹,歹
歿,殁
殀,殀
殄,殄
殃,殃
殍,殍
殘,残
殕,殕
殞,殒
殤,殇
殪,殪
殫,殚
殯,殡
殲,歼
殱,殱
殳,殳
殷,殷
殼,壳
毆,殴
毋,毋
毓,毓
毟,毟
毬,毬
毫,毫
毳,毳
毯,毯
麾,麾
氈,毡
氓,氓
气,气
氛,氛
氤,氤
氣,气
汞,汞
汕,汕
汢,汢
汪,汪
沂,沂
沍,沍
沚,沚
沁,沁
沛,沛
汾,汾
汨,汨
汳,汳
沒,没
沐,沐
泄,泄
泱,泱
泓,泓
沽,沽
泗,泗
泅,泅
泝,泝
沮,沮
沱,沱
沾,沾
沺,沺
泛,泛
泯,泯
泙,泙
泪,泪
洟,洟
衍,衍
洶,汹
洫,洫
洽,洽
洸,洸
洙,洙
洵,洵
洳,洳
洒,洒
洌,洌
浣,灌
涓,涓
浤,浤
浚,浚
浹,浃
浙,浙
涎,涎
涕,涕
濤,涛
涅,涅
淹,淹
渕,渕
渊,渊
涵,涵
淇,淇
淦,淦
涸,涸
淆,淆
淬,淬
淞,淞
淌,淌
淨,净
淒,凄
淅,淅
淺,浅
淙,淙
淤,淤
淕,淕
淪,沦
淮,淮
渭,渭
湮,湮
渮,渮
渙,涣
湲,湲
湟,湟
渾,浑
渣,渣
湫,湫
渫,渫
湶,湶
湍,湍
渟,渟
湃,湃
渺,渺
湎,湎
渤,渤
滿,满
渝,渝
游,游
溂,溂
溪,溪
溘,溘
滉,滉
溷,溷
滓,滓
溽,溽
溯,溯
滄,沧
溲,溲
滔,滔
滕,滕
溏,溏
溥,溥
滂,滂
溟,溟
潁,颍
漑,漑
灌,灌
滬,沪
滸,浒
滾,滚
漿,浆
滲,渗
漱,漱
滯,滞
漲,涨
滌,涤
漾,漾
漓,漓
滷,卤
澆,浇
潺,潺
潸,潸
澁,渋
澀,涩
潯,浔
潛,潜
濳,濳
潭,潭
澂,澂
潼,潼
潘,潘
澎,澎
澑,澑
濂,濂
潦,潦
澳,澳
澣,澣
澡,澡
澤,泽
澹,澹
濆,濆
澪,澪
濟,济
濕,湿
濬,濬
濔,濔
濘,泞
濱,滨
濮,濮
濛,蒙
瀉,泻
瀋,沈
濺,溅
瀑,瀑
瀁,瀁
瀏,浏
濾,滤
瀛,瀛
瀚,瀚
潴,潴
瀝,沥
瀘,泸
瀟,潇
瀰,弥
瀾,澜
瀲,潋
灑,洒
灣,湾
炙,炙
炒,炒
炯,炯
烱,烱
炬,炬
炸,炸
炳,炳
炮,炮
烟,烟
烋,烋
烝,烝
烙,烙
焉,焉
烽,烽
焜,焜
焙,焙
煥,焕
煕,煕
熈,熈
煦,煦
煢,茕
煌,煌
煖,煖
煬,炀
熏,熏
燻,燻
熄,熄
熕,熕
熨,熨
熬,熬
燗,燗
熹,熹
熾,炽
燒,烧
燉,炖
燔,燔
燎,燎
燠,燠
燬,燬
燧,燧
燵,燵
燼,烬
燹,燹
燿,燿
爍,烁
爐,炉
爛,烂
爨,爨
爭,争
爬,爬
爰,爰
爲,为
爻,爻
爼,爼
爿,爿
牀,牀
牆,墙
牋,牋
牘,牍
牴,牴
牾,牾
犂,犂
犁,犁
犇,犇
犒,犒
犖,荦
犢,犊
犧,牺
犹,犹
犲,犲
狃,狃
狆,狆
狄,狄
狎,狎
狒,狒
狢,狢
狠,狠
狡,狡
狹,狭
狷,狷
倏,倏
猗,猗
猊,猊
猜,猜
猖,猖
猝,猝
猴,猴
猯,猯
猩,猩
猥,猥
猾,猾
獎,奖
獏,獏
默,默
獗,獗
獪,狯
獨,独
獰,狞
獸,兽
獵,猎
獻,献
獺,獭
珈,珈
玳,玳
珎,珎
玻,玻
珀,珀
珥,珥
珮,珮
珞,珞
璢,璢
琅,琅
瑯,瑯
琥,琥
珸,珸
琲,琲
琺,珐
瑕,瑕
琿,珲
瑟,瑟
瑙,瑙
瑁,瑁
瑜,瑜
瑩,莹
瑰,瑰
瑣,琐
瑪,玛
瑶,瑶
瑾,瑾
璋,璋
璞,璞
璧,璧
瓊,琼
瓏,珑
瓔,璎
珱,珱
瓠,瓠
瓣,瓣
瓧,瓧
瓩,瓩
瓮,瓮
瓲,瓲
瓰,瓰
瓱,瓱
瓸,瓸
瓷,瓷
甄,甄
甃,甃
甅,甅
甌,瓯
甎,甎
甍,甍
甕,甕
甓,甓
甞,甞
甦,甦
甬,甬
甼,甼
畄,畄
畍,畍
畊,畊
畉,畉
畛,畛
畆,畆
畚,畚
畩,畩
畤,畤
畧,畧
畫,画
畭,畭
畸,畸
當,当
疆,疆
疇,畴
畴,畴
疊,叠
疉,疉
疂,疂
疔,疔
疚,疚
疝,疝
疥,疥
疣,疣
痂,痂
疳,疳
痃,痃
疵,疵
疽,疽
疸,疸
疼,疼
疱,疱
痍,痍
痊,痊
痒,痒
痙,痉
痣,痣
痞,痞
痾,疴
痿,痿
痼,痼
瘁,瘁
痰,痰
痺,痺
痲,痲
痳,痳
瘋,疯
瘍,疡
瘉,瘉
瘟,瘟
瘧,疟
瘠,瘠
瘡,疮
瘢,瘢
瘤,瘤
瘴,瘴
瘰,瘰
瘻,瘘
癇,痫
癈,癈
癆,痨
癜,癜
癘,疠
癡,痴
癢,痒
癨,癨
癩,癞
癪,癪
癧,疬
癬,癣
癰,痈
癲,癫
癶,癶
癸,癸
發,发
皀,皀
皃,皃
皈,皈
皋,皋
皎,皎
皖,皖
皓,皓
皙,皙
皚,皑
皰,疱
皴,皴
皸,皲
皹,皹
皺,皱
盂,盂
盍,盍
盖,盖
盒,盒
盞,盏
盡,尽
盥,盥
盧,卢
盪,荡
蘯,蘯
盻,盻
眈,眈
眇,眇
眄,眄
眩,眩
眤,眤
眞,真
眥,眦
眦,眦
眛,眛
眷,眷
眸,眸
睇,睇
睚,睚
睨,睨
睫,睫
睛,睛
睥,睥
睿,睿
睾,睾
睹,睹
瞎,瞎
瞋,瞋
瞑,瞑
瞠,瞠
瞞,瞒
瞰,瞰
瞶,瞆
瞹,瞹
瞿,瞿
瞼,睑
瞽,瞽
瞻,瞻
矇,蒙
矍,矍
矗,矗
矚,瞩
矜,矜
矣,矣
矮,矮
矼,矼
砌,砌
砒,砒
礦,矿
砠,砠
礪,砺
硅,硅
碎,碎
硴,硴
碆,碆
硼,硼
碚,碚
碌,碌
碣,碣
碵,碵
碪,碪
碯,碯
磑,硙
磆,磆
磋,磋
磔,磔
碾,碾
碼,码
磅,磅
