日文,中文
丸,丸
含,含
岸,岸
巌,巌
玩,玩
癌,癌
眼,眼
岩,岩
翫,翫
贋,赝
雁,雁
頑,顽
顔,颜
願,愿
企,企
伎,伎
危,危
喜,喜
器,器
基,基
奇,奇
嬉,嬉
寄,寄
岐,岐
希,希
幾,几
忌,忌
揮,挥
机,机
旗,旗
既,既
期,期
棋,棋
棄,弃
機,机
帰,归
毅,毅
気,气
汽,汽
畿,畿
祈,祈
季,季
稀,稀
紀,纪
徽,徽
規,规
記,记
貴,贵
起,起
軌,轨
輝,辉
飢,饥
騎,骑
鬼,鬼
亀,龟
偽,伪
儀,仪
妓,妓
宜,宜
戯,戏
技,技
擬,拟
欺,欺
犠,牺
疑,疑
祇,祇
義,义
蟻,蚁
誼,谊
議,议
掬,掬
菊,菊
鞠,鞠
吉,吉
吃,吃
喫,吃
桔,桔
橘,橘
詰,诘
砧,砧
杵,杵
黍,黍
却,却
客,客
脚,脚
虐,虐
逆,逆
丘,丘
久,久
仇,仇
休,休
及,及
吸,吸
宮,宫
弓,弓
急,急
救,救
朽,朽
求,求
汲,汲
泣,泣
灸,灸
球,球
究,究
窮,穷
笈,笈
級,级
糾,纠
給,给
旧,旧
牛,牛
去,去
居,居
巨,巨
拒,拒
拠,据
挙,举
渠,渠
虚,虚
許,许
距,距
鋸,锯
漁,渔
禦,御
魚,鱼
亨,亨
享,享
京,京
供,供
侠,侠
僑,侨
兇,凶
競,竞
共,共
凶,凶
協,协
匡,匡
卿,卿
叫,叫
喬,乔
境,境
峡,峡
強,强
彊,彊
怯,怯
恐,恐
恭,恭
挟,挟
教,教
橋,桥
況,况
狂,狂
狭,狭
矯,矫
胸,胸
脅,胁
興,兴
蕎,荞
郷,乡
鏡,镜
響,响
饗,飨
驚,惊
仰,仰
凝,凝
尭,尭
暁,晓
業,业
局,局
曲,曲
極,极
玉,玉
桐,桐
粁,粁
僅,仅
勤,勤
均,均
巾,巾
錦,锦
斤,斤
欣,欣
欽,钦
琴,琴
禁,禁
禽,禽
筋,筋
緊,紧
芹,芹
菌,菌
衿,衿
襟,襟
謹,谨
近,近
金,金
吟,吟
銀,银
九,九
倶,倶
句,句
区,区
狗,狗
玖,玖
矩,矩
苦,苦
躯,躯
駆,驱
駈,駈
駒,驹
具,具
愚,愚
虞,虞
喰,喰
空,空
偶,偶
寓,寓
遇,遇
隅,隅
串,串
櫛,栉
釧,钏
屑,屑
屈,屈
掘,掘
窟,窟
沓,沓
靴,靴
轡,辔
窪,洼
熊,熊
隈,隈
粂,粂
栗,栗
繰,缲
桑,桑
鍬,锹
勲,勋
君,君
薫,熏
訓,训
群,群
軍,军
郡,郡
卦,卦
袈,袈
